Concessão;AE;Nome Sublanço;Sublanço Inicio;Sublanço Fim;Pk inicio (km);Pk Inicio (m);Pk fim (km);Pk fim (m);Centro Operacional;GO;GOA
BRISAL;A17;A17/14 Figueira da Foz - Quiaios;A17/14 Figueira da Foz ; Quiaios;54;913;63;586;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Quiaios - Tocha;Quiaios ; Tocha;63;586;77;859;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Tocha - Mira Nó;Tocha ; Mira Nó;77;859;87;968;Mealhada/Marinha;Nuno Prada;João Teixeira
BRISAL;A17;Mira Nó - Mira PV(limite concessão);Mira Nó ; Mira PV(limite concessão);87;968;92;0;Mealhada/Marinha;Nuno Prada;João Teixeira
AELO;A19;São Jorge - Batalha;São Jorge ; Batalha;107;400;113;800;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;A19;Batalha - Azóia;Batalha ; Azóia;113;800;119;400;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;A19;Azóia - A19/A8;Azóia ; A19/A8;119;400;120;575;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;A19;A19/A8 - Ligação à CIL;A19/A8 ; Ligação à CIL;120;575;121;265;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;A19;Ligação à CIL - Barosa;Ligação à CIL ; Barosa;121;265;122;700;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;A19;Barosa - Gândara;Barosa ; Gândara;122;700;123;675;Leiria - AELO;Pedro Tomás;Tiago Cancela
AEBT;A33;Casas Velhas - Lazarim;Casas Velhas ; Lazarim;0;0;1;92;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Lazarim - Botequim;Lazarim ; Botequim;1;92;3;100;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Botequim - Palhais;Botequim ; Palhais;3;100;3;949;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Palhais - Queimada ;Palhais ; Queimada ;3;949;5;643;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Queimada  - Belverde ;Queimada  ; Belverde ;5;643;10;74;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Belverde  - Laranjeiras;Belverde  ; Laranjeiras;10;74;11;852;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Laranjeiras - Coina com EN10 ;Laranjeiras ; Coina com EN10 ;11;852;17;936;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Coina com EN10  - Penalva;Coina com EN10  ; Penalva;17;936;21;333;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Penalva - Moita;Penalva ; Moita;21;333;27;769;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Moita - Sarilhos;Moita ; Sarilhos;27;769;32;419;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Sarilhos - Montijo;Sarilhos ; Montijo;32;419;35;119;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;A33;Montijo - A33/A12;Montijo ; A33/A12;35;119;36;889;Coina - AEBT;Ricardo Santos;Diego Mendes
AELO;EN242;Rotunda 4 - Rotunda 3;Rotunda 4 ; Rotunda 3;32;100;33;630;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;EN242;Rotunda 3 - Rotunda 2;Rotunda 3 ; Rotunda 2;33;630;34;530;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;EN242;Rotunda 2 - Rotunda 1;Rotunda 2 ; Rotunda 1;34;530;37;136;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;EN242;Rotunda 1 - Ligação à EN242 ( Sul );Rotunda 1 ; Ligação à EN242 ( Sul );37;136;37;800;Leiria - AELO;Pedro Tomás;Tiago Cancela
AEBT;IC3;A33/A12 - Alcochete;A33/A12 ; Alcochete;0;0;2;950;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;IC3;Alcochete - EN 118;Alcochete ; EN 118;2;950;3;300;Coina - AEBT;Ricardo Santos;Diego Mendes
AELO;IC9;IC9/EN242 - Valado dos Frades;IC9/EN242 ; Valado dos Frades;0;0;4;120;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Valado dos Frades - Maiorga;Valado dos Frades ; Maiorga;4;120;8;240;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Maiorga - Alcobaça;Maiorga ; Alcobaça;8;240;10;267;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Alcobaça - IC9/EN1;Alcobaça ; IC9/EN1;10;267;16;965;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;IC9/EN1 - EN243;IC9/EN1 ; EN243;16;965;18;110;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;EN243 - EN356;EN243 ; EN356;18;110;24;650;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;EN356 - Fátima / S. Catarina da Serra;EN356 ; Fátima / S. Catarina da Serra;24;650;35;325;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Fátima / S. Catarina da Serra - Ourem Poente;Fátima / S. Catarina da Serra ; Ourem Poente;35;325;38;550;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Ourem Poente - Ourem Norte;Ourem Poente ; Ourem Norte;38;550;44;550;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Ourem Norte - Alburitel;Ourem Norte ; Alburitel;44;550;51;680;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Alburitel - Vale dos Ovos;Alburitel ; Vale dos Ovos;51;680;55;700;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Vale dos Ovos - Carregueiros;Vale dos Ovos ; Carregueiros;55;700;60;740;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Carregueiros - Tomar;Carregueiros ; Tomar;60;740;66;410;Leiria - AELO;Pedro Tomás;Tiago Cancela
AELO;IC9;Tomar - IC9/IC3;Tomar ; IC9/IC3;66;410;68;208;Leiria - AELO;Pedro Tomás;Tiago Cancela
AEBT;IC20;Rotunda Centro Sul - Hospital;Rotunda Centro Sul ; Hospital;0;700;2;750;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;IC20;Hospital - Casas Velhas;Hospital ; Casas Velhas;2;750;3;820;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;IC20;Casas Velhas - Funchalinho;Casas Velhas ; Funchalinho;3;820;5;80;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;IC20;Funchalinho - IC20/ER377-2;Funchalinho ; IC20/ER377-2;5;80;6;800;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;IC21;Coina - Penalva;Coina ; Penalva;0;0;2;100;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;IC21;Penalva - Stº Antonio da Charneca;Penalva ; Stº Antonio da Charneca;2;100;4;600;Coina - AEBT;Ricardo Santos;Diego Mendes
AEBT;IC21;Stº Antonio da Charneca - Cruz.to de Sto André;Stº Antonio da Charneca ; Cruz.to de Sto André;4;600;7;200;Coina - AEBT;Ricardo Santos;Diego Mendes
